,0
0,['20180223']
1,['20180226']
2,['20180227']
3,['20180228']
4,['20180301']
5,['20180302']
6,['20180305']
7,['20180306']
8,['20180307']
9,['20180308']
10,['20180309']
11,['20180312']
12,['20180316']
13,['20180327']
14,['20180423']
15,['20180424']
16,['20180502']
17,['20180503']
18,['20180507']
19,['20180531']
20,['20180605']
21,['20180620']
22,['20180621']
23,['20180622']
24,['20180625']
25,['20180626']
26,['20180627']
27,['20180628']
28,['20180629']
29,['20180702']
30,['20180703']
31,['20180712']
32,['20180713']
33,['20180807']
34,['20180820']
35,['20180823']
36,['20180824']
37,['20180827']
38,['20181009']
39,['20181012']
40,['20181017']
41,['20181022']
42,['20181030']
43,['20181031']
44,['20181101']
45,['20181102']
46,['20181105']
47,['20181106']
48,['20181107']
49,['20181108']
50,['20181109']
51,['20181112']
52,['20181126']
53,['20181127']
54,['20181128']
55,['20181203']
56,['20181204']
57,['20181211']
58,['20181212']
59,['20181213']
60,['20181217']
61,['20181224']
62,['20190115']
63,['20190123']
64,['20190201']
65,['20190211']
66,['20190212']
67,['20190213']
68,['20190214']
69,['20190215']
70,['20190218']
71,['20190305']
72,['20190311']
73,['20190327']
74,['20190329']
75,['20190416']
76,['20190430']
77,['20190507']
78,['20190508']
79,['20190520']
80,['20190610']
81,['20190611']
82,['20190620']
83,['20190621']
84,['20190624']
85,['20190625']
86,['20190626']
87,['20190627']
88,['20190628']
89,['20190701']
90,['20190705']
91,['20190709']
92,['20190710']
93,['20190711']
94,['20190712']
95,['20190715']
96,['20190716']
97,['20190719']
98,['20190819']
99,['20190902']
100,['20190918']
101,['20190919']
