"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2019年9月30日","1,627.55","1,648.90","1,651.87","1,626.05","1.68B","-1.21%"
"2019年9月27日","1,647.53","1,628.14","1,653.06","1,624.75","1.92B","1.46%"
"2019年9月26日","1,623.79","1,677.79","1,680.93","1,623.65","2.21B","-2.92%"
"2019年9月25日","1,672.65","1,686.19","1,689.23","1,670.68","2.22B","-1.30%"
"2019年9月24日","1,694.60","1,685.12","1,706.82","1,678.18","2.28B","0.61%"
"2019年9月23日","1,684.32","1,699.34","1,699.34","1,669.89","2.04B","-1.22%"
"2019年9月20日","1,705.05","1,709.23","1,716.84","1,701.40","2.01B","-0.03%"
"2019年9月19日","1,705.60","1,684.93","1,706.86","1,676.50","1.89B","1.57%"
"2019年9月18日","1,679.31","1,683.15","1,687.11","1,668.66","1.84B","0.08%"
"2019年9月17日","1,677.99","1,710.77","1,710.77","1,671.07","2.20B","-2.12%"
"2019年9月16日","1,714.37","1,715.92","1,723.11","1,703.38","2.11B","0.22%"
"2019年9月12日","1,710.57","1,713.59","1,715.33","1,695.29","1.84B","0.41%"
"2019年9月11日","1,703.54","1,730.35","1,736.18","1,700.91","2.20B","-1.26%"
"2019年9月10日","1,725.31","1,733.63","1,734.97","1,715.75","2.77B","-0.46%"
"2019年9月9日","1,733.23","1,702.99","1,733.23","1,691.94","3.13B","2.42%"
"2019年9月6日","1,692.24","1,699.66","1,700.19","1,674.67","2.51B","0.19%"
"2019年9月5日","1,689.05","1,682.44","1,708.97","1,682.44","3.28B","1.18%"
"2019年9月4日","1,669.41","1,656.59","1,669.41","1,650.03","2.39B","0.54%"
"2019年9月3日","1,660.43","1,656.05","1,662.38","1,646.92","2.40B","0.49%"
"2019年9月2日","1,652.29","1,614.03","1,655.42","1,610.81","2.24B","2.57%"
"2019年8月30日","1,610.90","1,630.05","1,637.26","1,600.45","2.14B","-0.61%"
"2019年8月29日","1,620.86","1,625.96","1,632.96","1,615.57","1.63B","-0.27%"
"2019年8月28日","1,625.19","1,629.99","1,632.69","1,617.25","1.68B","-0.18%"
"2019年8月27日","1,628.12","1,611.90","1,646.87","1,610.00","2.20B","1.71%"
"2019年8月26日","1,600.80","1,588.55","1,608.20","1,587.90","1.79B","-0.91%"
"2019年8月23日","1,615.56","1,614.54","1,623.19","1,605.01","1.80B","0.13%"
"2019年8月22日","1,613.46","1,614.13","1,615.61","1,599.31","1.74B","0.23%"
"2019年8月21日","1,609.83","1,614.30","1,616.08","1,605.40","1.81B","-0.11%"
"2019年8月20日","1,611.59","1,624.80","1,630.32","1,607.40","2.30B","-0.69%"
"2019年8月19日","1,622.84","1,586.01","1,622.84","1,581.71","2.92B","3.50%"
"2019年8月16日","1,567.99","1,554.72","1,584.38","1,553.82","2.09B","0.79%"
"2019年8月15日","1,555.77","1,507.95","1,556.01","1,505.43","1.84B","1.24%"
"2019年8月14日","1,536.66","1,546.21","1,551.44","1,534.85","1.70B","0.81%"
"2019年8月13日","1,524.36","1,526.08","1,535.98","1,519.01","1.32B","-1.01%"
"2019年8月12日","1,539.91","1,511.32","1,539.91","1,506.68","1.42B","2.14%"
"2019年8月9日","1,507.71","1,532.98","1,536.25","1,504.89","1.29B","-1.00%"
"2019年8月8日","1,522.97","1,512.27","1,526.18","1,511.34","1.15B","1.51%"
"2019年8月7日","1,500.25","1,520.58","1,523.62","1,500.07","1.23B","-0.51%"
"2019年8月6日","1,507.91","1,501.40","1,517.68","1,478.54","1.82B","-1.53%"
"2019年8月5日","1,531.37","1,552.35","1,566.73","1,531.37","1.52B","-1.63%"
"2019年8月2日","1,556.74","1,539.92","1,559.12","1,536.40","1.54B","-1.09%"
"2019年8月1日","1,573.87","1,562.53","1,578.86","1,561.20","1.21B","0.22%"
"2019年7月31日","1,570.39","1,577.20","1,578.75","1,567.99","1.17B","-0.62%"
"2019年7月30日","1,580.13","1,568.16","1,593.69","1,566.60","1.61B","0.87%"
"2019年7月29日","1,566.52","1,561.27","1,566.74","1,556.38","1.28B","0.30%"
"2019年7月26日","1,561.86","1,562.20","1,565.44","1,552.39","1.17B","-0.27%"
"2019年7月25日","1,566.08","1,552.85","1,567.33","1,549.49","1.40B","0.80%"
"2019年7月24日","1,553.72","1,539.23","1,562.13","1,538.67","1.55B","1.22%"
"2019年7月23日","1,534.93","1,519.63","1,535.04","1,516.86","1.10B","1.25%"
"2019年7月22日","1,515.97","1,545.91","1,545.93","1,511.52","1.33B","-1.69%"
"2019年7月19日","1,541.98","1,532.38","1,552.74","1,532.38","1.22B","1.15%"
"2019年7月18日","1,524.48","1,542.43","1,542.66","1,524.48","1.28B","-1.66%"
"2019年7月17日","1,550.22","1,544.42","1,563.05","1,541.37","1.42B","0.32%"
"2019年7月16日","1,545.27","1,545.34","1,551.99","1,538.62","1.30B","-0.14%"
"2019年7月15日","1,547.47","1,512.77","1,556.05","1,496.81","1.94B","1.94%"
"2019年7月12日","1,518.07","1,517.04","1,525.69","1,506.70","1.16B","0.26%"
"2019年7月11日","1,514.20","1,522.81","1,531.64","1,507.70","1.07B","0.25%"
"2019年7月10日","1,510.43","1,521.95","1,523.81","1,504.66","1.01B","-0.48%"
"2019年7月9日","1,517.79","1,507.39","1,521.71","1,501.74","1.12B","0.74%"
"2019年7月8日","1,506.66","1,547.60","1,547.60","1,495.23","1.53B","-2.65%"
"2019年7月5日","1,547.74","1,535.48","1,551.94","1,532.86","1.10B","0.98%"
"2019年7月4日","1,532.74","1,548.56","1,551.14","1,525.29","1.28B","-0.75%"
"2019年7月3日","1,544.36","1,566.30","1,566.30","1,538.37","1.38B","-1.67%"
"2019年7月2日","1,570.51","1,565.99","1,577.03","1,560.60","1.53B","0.15%"
"2019年7月1日","1,568.16","1,545.06","1,568.40","1,534.56","2.10B","3.75%"
"2019年6月28日","1,511.51","1,523.79","1,523.79","1,501.63","1.20B","-0.90%"
"2019年6月27日","1,525.24","1,510.09","1,529.72","1,507.97","1.49B","1.38%"
"2019年6月26日","1,504.55","1,490.56","1,511.53","1,487.75","1.21B","0.41%"
