,收盘_sz,开盘_sz,高_sz,低_sz,交易量_sz,涨跌幅_sz,date,收盘_cy,开盘_cy,高_cy,低_cy,交易量_cy,涨跌幅_cy,sen,lhb
0,"2,931.88","2,915.97","2,936.85","2,900.87",3.93B,2.09,20180222,"1,677.76","1,661.56","1,679.79","1,650.88",1.40B,1.88,0.016574850768564263,0.05485108259671618
1,"2,957.17","2,941.42","2,966.75","2,926.36",3.82B,0.86,20180223,"1,668.83","1,674.62","1,681.24","1,656.95",1.25B,-0.53,-0.01979763827960448,0.04717476397282447
2,"2,973.79","2,973.81","2,986.81","2,933.52",5.02B,0.56,20180226,"1,729.15","1,683.15","1,733.71","1,673.95",1.99B,3.61,0.04486262381760992,0.0971745690635786
3,"2,927.10","2,979.77","2,979.77","2,918.01",4.62B,-1.57,20180227,"1,743.54","1,729.94","1,757.37","1,728.31",2.28B,0.83,0.001990223276042845,0.037008828497940835
4,"2,878.67","2,899.00","2,905.57","2,866.46",3.88B,-1.65,20180228,"1,753.63","1,730.15","1,773.73","1,723.39",2.16B,0.58,-0.02237245043034479,-0.04286637880471621
5,"2,891.30","2,859.09","2,907.27","2,852.49",3.23B,0.44,20180301,"1,789.85","1,744.34","1,789.85","1,741.03",2.32B,2.07,0.062328300931550874,0.05339880610030423
6,"2,864.18","2,864.18","2,887.89","2,852.01",2.99B,-0.94,20180302,"1,772.01","1,777.46","1,804.25","1,767.90",2.07B,-1.0,0.027032945420255774,-0.028758549982428737
7,"2,863.99","2,865.20","2,889.74","2,846.93",3.00B,-0.01,20180305,"1,795.69","1,780.82","1,795.69","1,768.88",1.67B,1.34,0.08323236129675764,0.08638622937594702
8,"2,892.48","2,878.92","2,893.46","2,838.61",4.76B,0.99,20180306,"1,797.61","1,798.03","1,810.26","1,790.54",1.95B,0.11,0.06312676670845327,0.06626182649709576
9,"2,878.15","2,892.44","2,921.44","2,868.04",3.79B,-0.5,20180307,"1,785.27","1,795.17","1,800.45","1,780.30",1.58B,-0.69,0.0231080854323872,0.04779716818557244
