"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2019年9月30日","2,897.70","2,917.07","2,933.51","2,897.68","1.92B","-1.08%"
"2019年9月27日","2,929.47","2,929.32","2,934.33","2,916.07","2.30B","0.05%"
"2019年9月26日","2,927.88","2,939.68","2,952.87","2,926.54","3.15B","-0.03%"
"2019年9月25日","2,928.84","2,930.14","2,942.00","2,923.15","2.25B","-0.38%"
"2019年9月24日","2,940.08","2,936.95","2,956.29","2,929.60","2.27B","0.31%"
"2019年9月23日","2,930.91","2,955.26","2,955.26","2,916.43","2.38B","-1.10%"
"2019年9月20日","2,963.43","2,964.92","2,970.72","2,956.92","3.02B","0.22%"
"2019年9月19日","2,956.83","2,965.03","2,965.11","2,941.66","2.09B","0.08%"
"2019年9月18日","2,954.36","2,947.97","2,967.86","2,947.68","2.34B","0.59%"
"2019年9月17日","2,937.01","2,974.01","2,974.01","2,929.31","3.07B","-1.52%"
"2019年9月16日","2,982.45","3,003.65","3,004.88","2,972.58","3.25B","-0.57%"
"2019年9月12日","2,999.56","2,970.01","3,001.23","2,963.45","3.18B","1.43%"
"2019年9月11日","2,957.14","2,978.97","2,980.66","2,946.57","3.52B","-0.43%"
"2019年9月10日","2,969.80","2,987.51","2,988.06","2,958.31","3.60B","-0.40%"
"2019年9月9日","2,981.59","3,004.80","3,008.67","2,974.23","3.87B","0.02%"
"2019年9月6日","2,981.07","2,974.80","2,981.24","2,955.82","3.15B","0.85%"
"2019年9月5日","2,955.84","2,938.14","2,988.21","2,938.14","5.29B","1.24%"
"2019年9月4日","2,919.68","2,888.97","2,919.68","2,887.59","3.76B","0.95%"
"2019年9月3日","2,892.18","2,897.29","2,900.76","2,878.10","2.59B","-0.10%"
"2019年9月2日","2,894.96","2,871.29","2,902.41","2,866.75","2.98B","0.79%"
"2019年8月30日","2,872.40","2,878.21","2,886.35","2,856.03","2.59B","0.59%"
"2019年8月29日","2,855.45","2,867.77","2,871.63","2,843.28","2.24B","-0.40%"
"2019年8月28日","2,867.03","2,883.35","2,887.85","2,860.71","2.36B","-0.70%"
"2019年8月27日","2,887.24","2,883.42","2,915.84","2,881.00","3.57B","0.83%"
"2019年8月26日","2,863.48","2,869.46","2,882.45","2,854.51","2.64B","-1.85%"
"2019年8月23日","2,917.38","2,880.57","2,923.93","2,876.02","2.41B","1.37%"
"2019年8月22日","2,878.00","2,878.73","2,881.06","2,862.44","2.05B","0.31%"
"2019年8月21日","2,869.22","2,868.63","2,875.01","2,864.81","2.16B","-0.22%"
"2019年8月20日","2,875.65","2,869.16","2,883.55","2,864.71","2.98B","-0.05%"
"2019年8月19日","2,877.23","2,839.25","2,877.47","2,823.87","4.19B","1.88%"
"2019年8月16日","2,824.23","2,817.27","2,846.26","2,805.81","2.41B","0.35%"
"2019年8月15日","2,814.39","2,758.74","2,815.15","2,756.38","2.53B","0.36%"
"2019年8月14日","2,804.36","2,827.04","2,831.34","2,803.86","2.61B","0.41%"
"2019年8月13日","2,792.91","2,807.96","2,812.49","2,787.12","2.15B","-1.13%"
"2019年8月12日","2,824.80","2,787.44","2,825.09","2,782.77","2.21B","1.90%"
"2019年8月9日","2,772.15","2,800.44","2,802.81","2,767.14","2.54B","-0.53%"
"2019年8月8日","2,786.87","2,771.45","2,790.14","2,768.71","2.94B","1.44%"
"2019年8月7日","2,747.25","2,771.24","2,773.94","2,747.25","2.46B","-0.49%"
"2019年8月6日","2,760.68","2,736.68","2,771.79","2,718.21","3.69B","-0.93%"
"2019年8月5日","2,786.72","2,823.35","2,828.48","2,785.90","2.84B","-2.01%"
"2019年8月2日","2,843.77","2,837.37","2,852.12","2,831.66","2.99B","-1.53%"
"2019年8月1日","2,887.87","2,901.15","2,909.47","2,880.30","2.43B","-0.85%"
"2019年7月31日","2,912.66","2,931.85","2,932.65","2,906.71","2.39B","-1.07%"
"2019年7月30日","2,944.03","2,939.14","2,958.30","2,938.90","2.27B","0.46%"
"2019年7月29日","2,930.49","2,936.64","2,938.73","2,922.68","2.24B","-0.30%"
"2019年7月26日","2,939.35","2,918.11","2,943.07","2,918.01","2.35B","0.28%"
"2019年7月25日","2,931.18","2,911.01","2,931.18","2,903.31","2.29B","0.85%"
"2019年7月24日","2,906.55","2,894.94","2,923.40","2,894.59","2.60B","0.88%"
"2019年7月23日","2,881.10","2,885.70","2,889.39","2,871.51","2.04B","-0.03%"
"2019年7月22日","2,881.90","2,897.79","2,905.35","2,872.53","2.36B","-0.47%"
"2019年7月19日","2,895.62","2,875.96","2,906.55","2,875.90","2.25B","1.28%"
"2019年7月18日","2,859.16","2,869.73","2,872.24","2,859.07","1.95B","-0.55%"
"2019年7月17日","2,875.03","2,877.49","2,892.34","2,866.47","1.81B","-0.33%"
"2019年7月16日","2,884.56","2,900.05","2,905.11","2,881.40","1.74B","-0.62%"
"2019年7月15日","2,902.61","2,885.98","2,920.16","2,850.10","2.82B","0.02%"
"2019年7月12日","2,902.13","2,883.09","2,912.90","2,878.20","2.15B","0.50%"
"2019年7月11日","2,887.83","2,897.47","2,918.94","2,879.64","2.12B","0.31%"
"2019年7月10日","2,878.78","2,896.70","2,897.58","2,870.67","1.89B","-0.10%"
"2019年7月9日","2,881.55","2,894.33","2,902.14","2,872.03","2.14B","-0.55%"
"2019年7月8日","2,897.51","2,944.97","2,944.97","2,877.74","3.37B","-2.17%"
"2019年7月5日","2,961.92","2,952.71","2,967.98","2,937.60","2.38B","0.29%"
"2019年7月4日","2,953.27","2,966.33","2,974.80","2,939.97","3.29B","-0.39%"
"2019年7月3日","2,964.73","2,990.05","2,990.05","2,953.70","3.39B","-1.15%"
"2019年7月2日","2,999.08","3,000.78","3,003.88","2,988.47","3.46B","-0.13%"
"2019年7月1日","3,002.94","2,984.65","3,011.91","2,978.75","4.26B","2.47%"
"2019年6月28日","2,930.60","2,932.69","2,937.29","2,911.67","2.37B","-0.22%"
"2019年6月27日","2,937.13","2,917.20","2,952.91","2,914.96","3.35B","1.16%"
"2019年6月26日","2,903.49","2,896.76","2,915.24","2,891.00","2.40B","-0.23%"
"2019年6月25日","2,910.12","2,946.02","2,946.71","2,875.37","3.82B","-1.34%"
"2019年6月24日","2,949.52","2,942.51","2,958.02","2,931.67","2.90B","0.37%"
"2019年6月21日","2,938.77","2,939.65","2,958.23","2,929.90","4.66B","-0.13%"
"2019年6月20日","2,942.63","2,847.32","2,954.03","2,846.44","5.74B","3.51%"
"2019年6月19日","2,842.74","2,872.07","2,879.23","2,842.42","4.12B","1.29%"
"2019年6月18日","2,806.45","2,800.83","2,809.87","2,785.38","2.17B","0.46%"
"2019年6月17日","2,793.70","2,785.47","2,813.45","2,785.47","2.05B","0.29%"
